**Features**  
The CF4 model features a polished cast-iron design, enhancing both its appearance and functionality. This model efficiently shreds and chips while simplifying cleaning processes. The polished surface minimizes the effort required for maintenance, and the integrated suction system aids in collection.

**Specifications**  
| Model | Description                       | Included Code |
|-------|-----------------------------------|---------------|
|       | Grid 11mm for Potato Chipper      | CF407         |
|       | Grid 7mm for Potato Chipper       | CF407         |
|       | Grid 9mm for Potato Chipper       | CF407         |
|       | Pressure Block 11mm for Potato Chipper | CF409         |
|       | Pressure Block 7mm for Potato Chipper  | CF409         |
|       | Pressure Block 9mm for Potato Chipper  | CF409         |
| Optional | Base for Potato Chipper        | CF411         |
|       | Grid 11mm for Potato Chipper      | CF411         |
|       | Grid 7mm for Potato Chipper       | CF411         |
|       | Grid 9mm for Potato Chipper       | CF411         |
|       | Pressure Block 11mm for Potato Chipper | CF411         |
|       | Pressure Block 7mm for Potato Chipper  | CF411         |
|       | Pressure Block 9mm for Potato Chipper  | CF411         |

The right to modify products without prior notice is reserved. For technical information, visit www.dito-electrolux.com. AADD010.

