### Parts and Pricing List

**Description** | **Part Number** | **Price**  
--- | --- | ---  
Plate - Valve Anchor | 21588C |  
Wiring Mat #18 AWG Black | 30442C |  
Control - Limit | 30445C |  
Control - Hot (TD) | 30511C |  
Valve - Dispensing Assembly - Service | 61274C |  
Valve - Dispensing Assembly - Almond | 61274CAL |  
Valve - Dispensing Assembly - Black | 61274CBK |  
Valve - Dispensing Assembly - White | 61274CWH |  
Screw 6-32 x 3/16 PHTC | 70302C |  
Clamp - Tube | 70346C |  
Fitting - Union - 3/8 Tube | 70745C |  
Replacement Metal Stem Micr Cartridge - Left Hand | A42057R |  
Replacement Metal Stem Micr Cartridge - Right Hand | A42058R |  
Overhead Slide Top Peg - Plastic (10-16BT, 14L) | A51008 |  
Spout Assembly for LK D2490, LKDA2480 | A51147 |  
3/4 Inch Hose Adapter | A51151 |  
Spout Carton - Expansion (24x12.5x13.8) | A51165 |  
Replacement Small Escutcheon Handle Assembly | A51184R |  
1/2-14 NPSM Locknut | A51266 |  
Bar Faucet Body LK2088 Pold Brass | A51275D |  
Bar Faucet Body - MC | A51275MC |  
Hold Down Nut 1.046-20 UNS-2B | A51289 |  
Overhead Miscellaneous Plastic (10-24 UNC-2A, 6.5L) | A51304 |  
Snap Ring | A51306 |  
Top Locknut 1.203-20 UNS-2B | A51309 |  
Escutcheon (Plated) with Logo | A51314 |  
Locknut 1.2031-20 UNS-2B | A51324 |  
Spout Nut LK2223 Plated | A51330 |  
1/16 ID Brass Washer | A51334 |  
1/4 ID Fiber Washer | A51336 |  
Aerator Restricted Male LK2085 | A51357 |  
Aerator - Black | A51357BK |  
Restricted Aerator Pold Brass LK20 | A51357D |  
Restricted Aerator LK208813MC | A51357MC |  
Aerator - Nickel | A51357N |  
Aerator - White | A51357WH |  
Swivel Aerator Restricted LK370 | A51376 |  
Handle Chrome Plated Plastic | A51428 |  
1/2 Inch Pipe Coupling Nut | A51438 |  
1/2 ID Rubber Washer for A51376 | A51443 |  
Pop-Up Waste Assembly | A51447 |  
Replacement Spout Assembly LK2223 | A51466 |  
Ring (A53956) | A51484 |  
MF Hose Guide 446NW | A51493 |  
Flanged Hose Guide - Gold | A51493D |  
Threaded Miscellaneous Plastic (10-32 UNF-2A, 10L) | A51515 |  
PNH Slide Top Peg - Plastic (8-18BT, 7L) | A51516 |  
8 Inch Gooseneck Spout Assembly | A51589 |  
13 Inch Gooseneck Spout Assembly | A51590 |  
13 Inch Gooseneck Spout Assembly 208813D | A51590D |  
Spacer Nut | A51632 |  
Ring LK2423, LK2423BH | A51639 |  
Aerator Restricted Female LKDC2 | A51664 |  
Escutcheon with Hole | A51672 |  
Gasket for S/L Faucet | A51673 |  
Permanent Carton (17.8 x 11.8 x 2.6) | A51683 |  
6-Pack MA Carton (17 x 12.6 x 18.1) | A51684 |  
Swivel Aerator Spy Male LK37 | A51701 |  
Washer Hold Down | A51703 |  
Threaded Slide Top Peg - Plastic (10-16BT, 16L) | A51716 |  
1/8 Inch Allen Wrench | A51726 |  
Spray Head 48 Inch Hose Assembly - Female | A51749 |  
Adapter (Charges May Apply) |   |  

### Residential Faucet Parts Price List

**Description** | **Part Number** | **Price**  
--- | --- | ---  
Stopper from Sterling | A51778 |  
Lower Cam Gray Dia | A51821 |  
Cap Nut Plated | A51845 |  
Escutcheon Bar LK24, LKDA24 | A51846 |  
Nut; Spout Plated LK24 | A51847 |  
Diaphragm | A51851 |  
Replacement Pressure Balance Cartridge Assembly | A51853R |  
Ring (A53956) | A51860 |  
Ring (A53956) | A51861 |  
Diaphragm | A51863 |  
Diaphragm Retainer | A51864 |  
Replacement Mixer Valve Cartridge | A51866R |  
Filler Miscellaneous Plastic (10-24 UNC-2A, 12L) | A51875 |  
Screw Rotating Sleeve | A51877 |  
Handle Assembly | A51920 |  
Handle Assembly | A51921 |  
Dial Plate with Hole | A51932 |  
Dial Plate Assembly C | A51933 |  
Ring (A53956) | A51937 |  
Gasket | A51938 |  
Replacement E. Diacore Brown (LH) | A51947R |  
Replacement E. Diacore Gray (RH) | A51948R |  
Threaded Slide Top Peg - Plastic (10-16BT, 11L) | A51951 |  
Cast Body for Bar Faucet | A51956 |  
Diameter Copper Tube 7/32L | A51958 |  
8 Inch Bar Spout | A51966 |  
Escutcheon Kitchen | A51967 |  
Division MF403-7LF | A51981 |  
Washer | A51982 |  
Retaining Ring | A51983 |  
Vandal Proof Cap - Plastic | A51988 |  
Kitchen Faucet MA Carton (16.6 x 7.9 x 15.2) | A51994 |  
Ring (A53956) | A52001 |  
Small Escutcheon | A52003 |  
Handle A51184R | A52020 |  
Escutcheon Nut Unplated for A52062 | A52024 |  
Small Button Hot | A52025 |  
Small Button Cold | A52056 |  
Autobag (6x6x002) | A52059 |  
Bag of Hardware | A52060 |  
Escutcheon Nut Plated | A52062 |  
Spout Assembly for Bar Faucet | A52063 |  
Adapter Sleeve (2.15L) | A52068 |  
Hex Socket Cap Screw 6-32 UNC-3A (2L) | A52075 |  
Cap Nut - Micra Core | A52082 |  
Micra Core Instruction Sheet | A52101 |  
Mixer Trim Carton (6.2 x 2.7 x 8.1) | A52112 |  
Ring (A53956) | A52114 |  
Aerator Restricted Male/Female | A52237 |  
Aerator Restricted Male/Female - Almond | A52237AL |  
Aerator Restricted Male/Female - Black | A52237BK |  
Aerator Gold (Restricted) | A52237D |  
Aerator Restricted Male/Female - White | A52237WH |  
Hose | A52258 |  
Crystalac Handle Small | A52279 |  
Grease Tube | A52323 |  
Plated Escutcheon | A52327 |  
Gooseneck Faucet Carton (9 x 6 x 21) | A52344 |  
Gooseneck Male Carton (19.2 x 18.9 x 22.1) | A52345 |  
3/4 OD Spout Assembly - 7 Inch Reach | A52352 |  
Brass Washer | A52354 |  
Stem Assembly | A52363 |  
Dome Brassy Gold | A52364D |  
Dome S/L Kitchen Euro | A52364E |  
Right Plunger | A52369 |  
Plate | A52371 |  

**Price List FPL-15 Effective: FPL-14**

### Part List

| Description                              | Number   | Price  |
|------------------------------------------|----------|--------|
| Filh MSCR-PHLP 10-24UNC-2A 30L          | A52373   | -      |
| PNH MSCR-PHLP 10-24UNC-2A 3.5L          | A52376   | -      |
| Spout Assembly Almond                    | A52384AL | -      |
| Spout Assembly Black                     | A52384BK | -      |
| S/L Spout Euro                           | A52384E  | -      |
| Spout Assembly White                     | A52384WH | -      |
| Ring (A53956)                           | A52387   | -      |
| Base with Div Hole                       | A52389   | -      |
| Instruction Sheet                        | A52398   | -      |
| Single Lever Replacement Cartridge       | A52399R  | -      |
| Escutcheon for S/L Faucet               | A52401   | -      |
| Escutcheon; S/L Euro                    | A52401E  | -      |
| Div Assembly Purchased                   | A52404   | -      |
| Cup Seal                                 | A52405   | -      |
| Base Assembly with Div                   | A52415   | -      |
| Wing Handle                              | A52425   | -      |
| Wing Handle with Brassy Gold            | A52425D  | -      |
| Wing Handle with MC                      | A52425MC | -      |
| Pop-Up Rod Assembly                      | A52428   | -      |
| S/L Faucet Carton (14.6X11X2.4)        | A52458   | -      |
| Lower Housing S/L Kit with Div           | A52460   | -      |
| S/L Faucet - MA Carton (15.9X11.8X15.1) | A52471   | -      |
| H/A Cont Spt HI                         | A52531   | -      |
| H/A Cont Spt with Center Brzd-HI        | A52535   | -      |
| Trad Spt Assembly Pltg Low              | A52537   | -      |
| Cont Spt Assembly with Pltg HI           | A52538   | -      |
| Flange Chrome                            | A52546   | -      |
| Flange Brassy Gold                       | A52546D  | -      |
| Spout Flange Nickel                      | A52546N  | -      |
| Belleville Washer                        | A52547   | -      |
| Brzd Assembly for A53785                 | A52585   | -      |
| Spout Tube for A52588                    | A52586   | -      |
| Gasket                                   | A52595   | -      |
| Base Assembly                            | A52597   | -      |
| Tubing Copper OD                         | A52600   | -      |
| Body-Spoout                              | A52602   | -      |
| Knob                                     | A52609   | -      |
| Rod-Push                                 | A52610   | -      |
| OVH Self-Tapping PHLP 6-20BT 12L        | A52611   | -      |
| Label Knob Insert Hot                    | A52612   | -      |
| Plate Valve Bottom                       | A52613   | -      |
| Escutcheon LKH180 LK2156                | A52614   | -      |
| Escutcheon Almond                        | A52614AL | -      |
| Escutcheon Black                         | A52614BK | -      |
| Escutcheon White                         | A52614WH | -      |
| Body Hot Spigot                          | A52618   | -      |
| Director Stream                          | A52620   | -      |
| Screen                                   | A52621   | -      |
| Brazing Ring .030C/S-.422OD            | A52642   | -      |
| Escutcheon Sleeve U/M                   | A52650   | -      |
| Sleeve Brassy Gold                       | A52650D  | -      |
| Escutcheon Sleeve Undermount             | A52650N  | -      |
| Escutcheon Sleeve T/M                    | A52651   | -      |
| Spout Nut - Chrome Plated               | A52656   | -      |
| Spout Nut Brassy Gold                   | A52656D  | -      |
| Cut Split Bearing                        | A52657C  | -      |
| Cartridge Holder Holes                   | A52659   | -      |
| Brazing Shim .012THK-.125W-1.00L       | A52665   | -      |
| 1/8-27NPT Hex Head Plug                 | A52666   | -      |
| Brazing Ring .030C/S-.455OD            | A52670   | -      |
| Escutcheon with Spray Hole               | A52671   | -      |
| Stamping Print for A52673                | A52674   | -      |
| RDH SQN CRG BLT 28L                     | A52686   | -      |
| Hex Nut                                  | A52687   | -      |
| Washer                                   | A52688   | -      |
| Set Screw 1/4-28UNF 5L Cup Point        | A52689   | -      |
| Split Bearing (Pair)                    | A52690   | -      |
| Vacuum Breaker Bushing                  | A52702   | -      |
| Handle Assembly Almond                   | A52704AL | -      |
| Handle Assembly Black                    | A52704BK | -      |
| Handle; S/L Euro                        | A52704E  | -      |
| Handle Assembly White                    | A52704WH | -      |
| Trad Spt Assembly with Components HI      | A52721   | -      |
| Trad Spt Assembly with Components Low     | A52722   | -      |
| Cont H/A Spt Assembly with Components    | A52723   | -      |
| Bag of Hardware                          | A52729   | -      |
| H/A U/M Spt Holder Bottom                | A52730   | -      |
| H/A U/M Spt Holder Top                   | A52732   | -      |
| Poppet-Mach. Part                       | A52738   | -      |
| Hold-Down Nut                            | A52740   | -      |
| Diverter Tube                            | A52759   | -      |
| Bar FCT Carton (5.2X3.4X11.5)           | A52760   | -      |
| U/M FCT Carton (12.5X6X4.5)             | A52761   | -      |
| U/M FCT-MA Carton (14.5X12.9X12.9)     | A52762   | -      |
| PNH MSCR-PHLP 10-24UNC2A 52.5L          | A52776   | -      |
| Round Escutcheon-Plated                  | A52798   | -      |
| Nut; NPSM                               | A52799   | -      |
| Bag of Hardware                          | A52801   | -      |
| Bag of Hardware                          | A52802   | -      |
| Base Assembly                            | A52804   | -      |
| Water Way LKE4123 LKE4124F              | A52807   | -      |
| Water Way Almond LK4324FAL              | A52807AL | -      |
| Water Way Black LK4324FBK               | A52807BK | -      |
| Water Way LK4324FD                       | A52807D  | -      |
| Water Way White LK4324FD                 | A52807WH | -      |
| Unplated Hub Less Hole                  | A52808   | -      |
| Supply Hose LK4324 LKE4121               | A52811   | -      |
| Escutcheon Sleeve Bag LKD24 LK          | A52814   | -      |
| H/A Cont Spt with Center Brzd-Low      | A52815   | -      |
| Cont Spt Assembly with Pltg Low         | A52816   | -      |
| Cont Spt Assembly with Components Low    | A52817   | -      |
| Escutcheon Sleeve Bag                    | A52818   | -      |
| Filler                                   | A52822   | -      |
| Escutcheon Plated                        | A52823   | -      |
| Base Assembly LKE4160                    | A52825   | -      |
| Button Red Stamped                      | A52834   | -      |
| C Button Blue Stamped                   | A52835   | -      |
| Wing Handle DIACORE                    | A52839   | -      |
| Lower Housing Assembly with Div Vac Break | A52841   | -      |
| Lower Housing Assembly - Div P/Mount     | A52842   | -      |
| Lower Housing Assembly Non-Div Type      | A52843   | -      |
| Plated Hub Less Hole; Sized              | A52848   | -      |
| Plastic Bag 6X18X.0015                  | A52865   | -      |
| Filh MSCR-PHLP 12-24UNC-2A 24L          | A52868   | -      |
| Insert; Handle                           | A52869   | -      |
| Lower HSG S/L Regency                     | A52874   | -      |
| Button Assembly                          | A52876   | -      |
| S/L Crystal Handle                       | A52877   | -      |
| Gasket                                   | A52884   | -      |
| Replacement Escutcheon Package           | A52894   | -      |
| Plastic Handle Package                   | A52896   | -      |
| Escutcheon                              | A52902   | -      |
| Lavatory Base                            | A52903   | -      |
| Lower Housing S/L Lavatory               | A52904   | -      |
| Ring (A53956)                           | A52905   | -      |
| Spout Tube                               | A52910   | -      |
| Dome                                     | A52913   | -      |
| Ring (A53956)                           | A52919   | -      |
| Escutcheon                                | A52930   | -      |
| A52808 for A53786; Sized                | A52939   | -      |
| Rivet                                    | A52943   | -      |
| Slit Vacuum Breaker                     | A52944   | -      |
| Cover Plate-SPT-COLD Almond              | A53019AL | -      |
| Cover Plate-SPT-COLD Black               | A53019BK | -      |
| Coupling Nut Bag                        | A53048   | -      |
| Stopper from Federal Huber              | A53049   | -      |
| Brass Shank                              | A53056   | -      |
| Metal Handle Package                     | A53080   | -      |
| Replacement Handle Almond                | A53080AL | -      |
| Replacement Handle Black                 | A53080BK | -      |
| 11in Supply Tube (Formed)               | A53108   | -      |
| Stop Pin                                 | A53113   | -      |
| Low Cont Spt with Components Stop        | A53115   | -      |
| Low Cont Spt with Pltg Stop              | A53116   | -      |
| H/A Cont Spt Brzd; with Stop-Low        | A53117   | -      |
| Bag of Screws                           | A53119   | -      |
| Socket Wrench 2in                       | A53179   | -      |
| Escutcheon Support                       | A53187   | -      |
| Flh Slftpg-PHLP 8-18BT 9L               | A53215   | -      |
| Adaptor                                  | A53222   | -      |
| S/L Replacement Diaphragm Package      | A53226R  | -      |
| Ring (A53956)                           | A53245   | -      |
| Valve Cover Group                        | A53253   | -      |
| Valve Cover Group Almond                 | A53253AL | -      |
| Valve Cover Group Black                  | A53253BK | -      |
| Valve Cover Group White                  | A53253WH | -      |
| Hot Cold Tank Replacement Cartridge      | A53254   | -      |
| Stream Director Replacement Group        | A53255   | -      |
| Tube Group                               | A53256   | -      |
| Dia Supply Tube Assembly 1/2L            | A53257   | -      |
| Dia Supply Tube Assembly-2L              | A53258   | -      |
| Regency Swivel Checked                   | A53262CK | -      |
| Regency Swivel Gold                      | A53262D  | -      |
| Flange for A51376                       | A53264   | -      |
| Ring (A53956)                           | A53273   | -      |
| Bag of Hardware                          | A53274   | -      |
| Cartridge Assembly Cold                   | A53280   | -      |
| Base Assembly                            | A53282   | -      |
| Base Brazing Assembly                    | A53285   | -      |
| LH Micr Stem Assembly                    | A53330   | -      |
| RH Micr Stem Assembly                    | A53331   | -      |
| Individual Carton                        | A53369   | -      |
| Tube Group                               | A53385   | -      |
| Valve Cover Group                        | A53386   | -      |
| Valve Cover Group Almond                 | A53386AL | -      |

This structured format offers a clear and detailed view of part descriptions, their corresponding numbers, and pricing information.

### Parts List Overview

| DESCRIPTION                                  | NUMBER       | PRICE |
|----------------------------------------------|--------------|-------|
| Valve Cover Group - Black                    | A53386BK     |       |
| Valve Cover Group - White                    | A53386WH     |       |
| Plug Button                                   | A53428       |       |
| Lavatory Mounting Plate - Coated             | A53480       |       |
| 13" SPT Assembly - Polished Brass            | A53550D      |       |
| 13" SPT Assembly - Modern Chrome             | A53550MC     |       |
