### PART LIST DETAILS

**Description** | **Part Number** | **Price**  
---|---|---  
Valve Anchor Plate | 21588C |  
Wiring Mat #18 AWG Black | 30442C |  
Control Limit | 30445C |  
Hot Control (TD) | 30511C |  
Service Assembly - Dispensing Valve | 61274C |  
Almond Dispensing Valve Assembly - Service | 61274CAL |  
Black Dispensing Valve Assembly - Service | 61274CBK |  
White Dispensing Valve Assembly - Service | 61274CWH |  
Screw 6-32 x 3/16 PHTC | 70302C |  
Tube Clamp | 70346C |  
3/8 Tube Union Fitting | 70745C |  
Replacement Metal Stem Micro Cartridge (Left) | A42057R |  
Replacement Metal Stem Micro Cartridge (Right) | A42058R |  
Overhead Slip Joint - PHLP 10-16BT 14L | A51008 |  
Spray Assembly for LKD2490/LKDA2480 | A51147 |  
3/4 Inch Hose Adapter | A51151 |  
Specialty Carton - Expandable (24x12.5x13.8) | A51165 |  
Replacement Small Escutcheon Handle Assembly | A51184R |  
1/2-14 NPSM Locknut | A51266 |  
Bar Faucet Body LK2088 Pold BRS | A51275D |  
Bar Faucet Body MC | A51275MC |  
Hold Down Nut 1.046-20 UNS-2B | A51289 |  
Overhead Micro Scraper - PHLP 10-24 UNC-2A 6.5L | A51304 |  
Overhead Micro Scraper - PHLP 10 UNC-2A 6.5L | A51304D |  
Overhead Micro Scraper - PHLP 10 UNC-2A 6.5L | A51304MC |  
Snap Ring | A51306 |  
Top Locknut 1.203-20 UNS-2B | A51309 |  
Escutcheon (Plated) with Logo | A51314 |  
Locknut 1.2031-20 UNS-2B | A51324 |  
Plated Spout Nut LK2223 | A51330 |  
1/16 ID Brass Washer | A51334 |  
1/4 ID Fiber Washer | A51336 |  
Restrained Aerator Male LK2085 | A51357 |  
Black Aerator | A51357BK |  
Restrained Aerator Pold BRS LK20 | A51357D |  
Restrained Aerator LK208813MC | A51357MC |  
Nickel Aerator | A51357N |  
White Aerator | A51357WH |  
Swivel Aerator Restrained LK370 | A54566 |  
Chrome Plated Plastic Handle | A51428 |  
1/2 Inch Pipe Coupling Nut | A51438 |  
1/2 Inch ID Rubber Washer for A51376 | A51443 |  
Pop-Up Waste Assembly | A51447 |  
Replacement Spray Assembly LK2223 | A51466 |  
Ring (A53956) | A51484 |  
Multi-Functional Hose Guide 446NW | A51493 |  
Flagshaped Hose Guide - Gold | A51493D |  
Overhead Micro Scraper - PHLP 10-32 UNF-2A 10L | A51515 |  
Pan Head Slip Joint PHLP 8-18 BT 7L | A51516 |  
8 Inch Gooseneck Spray Assembly | A51589 |  
13 Inch Gooseneck Spray Assembly | A51590 |  
13 Inch Gooseneck Spray Assembly 208813D | A51590D |  
Spacer Nut | A51632 |  
Ring LK2423 | A51639 |  
Restrained Aerator Female LKDC2 | A51664 |  
Escutcheon with Hole | A51672 |  
Gasket S/L FCT | A51673 |  
Permanent Carton (17.8X11.8X2.6) | A51683 |  
6-Pack Master Carton (17X12.6X18.1) | A51684 |  
Swivel Aerator Spy Male LK37 | A51701 |  
Washer Hold Down | A51703 |  
Overhead Micro Scraper - PHLP 10-16BT 16L | A51716 |  
1/8 Inch Allen Wrench | A51726 |  
48 Inch Hose Assembly (Female) | A51749 |  
Adapter (Shipping Charges Apply) | A51755 |  

### PRICE LIST FOR RESIDENTIAL FAUCET PARTS

**Description** | **Part Number** | **Price**  
---|---|---  
Stopper from Sterling | A51778 |  
Lower Cam Gray Diameter | A51821 |  
Plated Cap Nut | A51845 |  
Bar Escutcheon LK24/LKDA24 | A51846 |  
Plated Spout Nut LK24 | A51847 |  
Diaphragm | A51851 |  
Replacement P/B Cartridge Assembly | A51853R |  
Ring (A53956) | A51860 |  
Ring (A53956) | A51861 |  
Diaphragm | A51863 |  
Diaphragm Retainer | A51864 |  
Replacement Mixer Valve Cartridge | A51866R |  
Filtration Micro Scraper - PHLP 10-24 UNC-2A 12L | A51875 |  
Screw Rotating Sleeve | A51877 |  
Handle Assembly | A51920 |  
Handle Assembly | A51921 |  
Dial Plate with Hole | A51932 |  
Dial Plate Assembly C | A51933 |  
Ring (A53956) | A51937 |  
Gasket | A51938 |  
Replacement E. Diacore Brown (Left Hand) | A51947R |  
Replacement E. Diacore Gray (Right Hand) | A51948R |  
Overhead Micro Scraper - PHLP 10-16BT 11L | A51951 |  
Cast Body for Bar Faucet | A51956 |  
Diameter Copper Tube 7/32L | A51958 |  
8 Inch Bar Spout | A51966 |  
Kitchen Escutcheon | A51967 |  
Division MF403-7LF | A51981 |  
Washer | A51982 |  
Retaining Ring | A51983 |  
Vandal Proof Plastic Cap | A51988 |  
Master Carton (16.6X7.9X15.2) | A51994 |  
Ring (A53956) | A52001 |  
